
16:45:56 ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4CCF190>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4EA1310>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4EA3650>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4EB1890>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4EB3D50>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4EC5F90>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4ED0050>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4ED2AD0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4ECC910>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4ECEB10>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4EE0E10>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4EE3610>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4EF1990>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4EF35D0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4F01990>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:57 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4F03F90>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:57 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4AF73D0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:57 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4F0DD90>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:57 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4F0FB50>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:57 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4F127D0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:45:57 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4F20610>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:46:00 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4F22790>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16:53:13 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
17:01:26 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
17:02:35 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
17:04:31 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
17:05:47 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
17:28:02 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
17:35:46 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
17:39:47 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
17:40:56 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
17:42:04 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
17:59:30 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
18:00:16 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
18:07:17 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
18:28:18 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
18:31:33 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
18:36:52 HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=25)
20:19:13 ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
20:19:13 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A561FB10>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A4F2A450>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A562CDD0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A562EBD0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5638990>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A563AE50>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5640CD0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5642ED0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5649350>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A564B510>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5659310>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A565BB10>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A565E110>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5670490>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5672810>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A566C910>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A566EC50>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5681250>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5683290>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A56898D0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A568BFD0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5699F50>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A56A0290>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A56A2650>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A56AC990>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A56AEA10>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A56B4E10>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A56B7350>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E39490>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E3BA90>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:14 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E3DDD0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E3FFD0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E46250>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E5C810>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E5DB90>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E68690>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E6A650>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E71A10>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E73790>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E81B50>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E83C50>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E8DF50>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E8FFD0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5E9A690>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5EA44D0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5EA63D0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
20:19:15 HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot5957038360:AAFLp8vX_2clN5waf2Sn4hs4d3riuZENzZQ/getMe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000189A5EB5290>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
